message,sentiment
"done anything fun decade now, stop talking lest become nostalgic",-1
please text tell thing going! miss guys!! fun - nice weather &amp; good food.,1
smiling like looney,1
2 out going home,-1
boy canceled plans. kind bummed,-1
textin!,1
want joke keshia. will...marshmellow man face ass.,-1
"end? problem, madam",1
desert pepper trading co salsa - quite disappointing! medium hot barely warm!,-1
watching csi miami grandparents.,1
englishh finalll 2day...fml...sumbodyy save mee (: morninggg travvvviiiiissss &lt;3 iloveeyouuuuhhh&lt;3,1
"1 am. keep wanting more. really need go sleep, getting caught",-1
lol. would double homicide guess going kick ball does. does.,1
"sorry absence twitterworld, omaha vaca ended car accident missed wedding",-1
"soooo bored,its raining iam babysitting 2 nyt .....bad time lol",-1
"morning, ashley aol address gave day ago disappeared...can provide please, become monster?",1
"sad time year me, football, basketball.",-1
"google voice nice u oldtimer grandcentral days, miss right clicking &quot;dial&quot; google map nowihavetocutnpaste",1
sad missed festivity tonight,-1
say goodbye ben emily.,-1
prop,-1
anyone iphone headphone longer need? mine went wash,-1
many david carradine messages.,-1
sitting back garden sister laptop hee hee thing get sun burned 2day,-1
learning psychologie philosophie school leaving examination!,-1
lot today hoping get done.,1
hate day like this...goodbyes everywhere!,-1
ughh. confusing much? kind feel bad still. let rain parade!,1
watching wedding singer...what good movie. make remember wife dated...good times. amazing thing turn,1
awake. tired think move as bed. morning sport.,-1
going miss dancing summer.,-1
intense magical two day had! love j light - fave!!,1
need translator? speak bit italian.,1
coming???????????,1
"kov points, ret first corner web podium, coupled furyk win complete understanding acc2012w...",1
oh gosh. mom cat leg got stuck cord. sooo scary. making weirdest noises. he okay now.,1
hope following john mayer. hahaha! got see this!,1
gay church portland amber pie! ~*kittie*~,1
atweeciate much love you!!!,1
cookout &amp;&amp; movie nite besttieee yayyy.,1
mommy left,-1
: go guy right front gate ask give,1
"jp later tonight, though. ghost hunting thing. fucking scary!",-1
hard thing looking network pick need love cannot wait move la december,-1
realised 1 bake per day. 2nd bake always come disastrous!!,-1
slo monitoring conversation,1
"feel like dead, covered salt, leg screaming pain, good day",1
pencils! pencil,1
sorryyyyyyy...but comp. dead;-) yehaaaaa weekend great...too much alcohol going make piiiizza!,-1
yay star trek whoohoo lali actualy going go see ... super happy... hope evry1 relaxing day,1
pic? one 49er website?,1
miss basement.,-1
fucking geography essay,-1
"sorry gloat early rising, woke 9.45 x",1
robe inconvenient many thing wish still bed.,-1
dance party liz aly. liz leaving,-1
hate polapremium's stinky €15 shipping cost,-1
school today- ill one online sooo bored. x,-1
"see chile sadly, come one day! going love like tai",-1
- steve! love life goodnight!,1
"dear twitter: know cannot help sleep, least bring entertainment would rather sleeping",1
way dentist. piece one molar broke,-1
dog ate cord computer...no twitter hom me...,-1
loving sun today........but hayfever,-1
goooo rhody! uri,1
oh love seattle!: happy afternoon lady gent little post regarding stay emera..,1
omg know! math suck like bother exam?! redid like test (not question) want summer bad,-1
- look awesome!!,1
really cannot think movie good books!,1
work,-1
"yeah, joey rescue keep safe",1
..from blog..fix,1
hate today much.,-1
"ha! appreciate either way! haha, word always kind, truth.",1
getting fungry watching food paradise's - sandwich eps! gahhhh. want,1
packed bagsm ready take going extremely busy nothing...,1
see leeds castle dickens' rochester.,1
make diet cheerwine.,1
thanks jj dying boredom. play rockband,1
watching video musiqueplus sp brazil. cannot understand guy saying matter,1
yeah know think tasmania full 'assholes',-1
thank,1
got mad craving sour gummy worm mmmm pepsi taco bell mmmm forgot eat dinner. starvin marvin right,-1
yelled poony,-1
trying work foot tan big ugly cloud way,-1
"gaby home. room jk, glad back",-1
"21 day birthday, 92 day concert, 100 day jb concert",1
saw bear grylls showing u head skunk killed... like... know survival show (not skunk har har),-1
yayay! thankyou,1
"bedtime, school tomorrow, still book broke suckssss",-1
want !,-1
"thanked justin timberlake, corona orlando magic? haha. oh yeah, lot people read thankyous.",1
sadly checked,-1
was!!! anymore told,-1
thanks follow,1
"bought baby wash smaller lightly soiled load regularly ta, expensive",-1
share yeheeyyy! karma gone,1
went house hunting today &amp; model made sick...i like expensive,-1
messaged 3oh!3 plan said honee happy jump like crazy mental monkey water bed love,1
oh right yeah...but hey stop trying take away me...i happy...ill find later need,1
feel ignored. listening,1
"weekend supposed fun, homeworkkk",-1
forgot awesome france mute is. make realize still listened ftm single yet.,-1
sorry. bad dog,-1
cuss siad it...lol,-1
"terribly miss , , , , , chrissie.",-1
way caax,-1
"okay, reason still cannot get background picture expand fill whole background.",-1
sorry hear,-1
hate falling asleep @ weird times. slept 8-10.15! wide awake 4!,-1
"would same, cheese, toast.",-1
"god! too! got really awful tonight watery eyes, sneezing, ugh!",-1
mmm. carrot juice.,1
looming grey cloud coming though! think rain way,-1
notre dame belinda,1
"coffee, want travel, stuck desk.",-1
aww poor you.....,-1
think possibly time marble slab ice cream,1
@ work.. feeling like laila ali- champion!! chu to?,1
thanks darling! will. work get int way lately,-1
nasty pasty?,-1
could find bing spot hulu,-1
reluctant dragged fishing afternoon,-1
rain relentless stressing - planned refelt would roof weekend - everything inside soaked,-1
pas on... then.,1
hey hon doing?,1
woot! finished homework... time catch sleep. zzzzzzzz...,1
byeee,1
oooooooooooooooooo get it.,1
headache!!!,-1
way home oc. good night cannot wait bed. couple hour sleep work,-1
"back work, really dead today. nicest lunch ever, even better potato cake :o. hopefully tonight nice",1
say sorry folks. dinneezy cannot 26th (8:27:02 pm) yaboydinneezy says: goin pulau perhentian.. hol...ma fam alr boook fo it..,-1
"could really use donut orange juice right , reprimanded using debit $ appears.",-1
nothing dooo!,-1
watched seven pounds. feel vaguely depressed.,-1
"hehe, well maxed 1 daughter.",1
"sound like load you! good meet hope? loved last spag junc one. wish there, busy",-1
e gross sound like start good day,-1
would rather :s actually know anything.,-1
hi! nilly too. ychyn23 pex.. goodevening!,1
hope today go well,1
weekend went way fast! way work david archuleta tow.,1
iceberg yellow snow ;) winter though. lawns.,1
love death note. stupis kate would let u watch,-1
"&quot;coffee crutch, would say permanent gimp leg&quot;- well",1
ortho 40 minute,1
seems like gone forever! ;) missed ya too!,1
throat burn happen?,-1
gettt itttt! sure left got time ;),1
love bestfriend,1
nice out!!! wish working,-1
barrel co-axer connecter brother think twitter stupid pish posh .,1
"- know feeling, today wine flu still working",-1
concentrate?? anyone? need help,-1
oh also involved too. haha. weirdest. send message myspace later.,1
since prone 2 getting txts night going start turning phone sleep.,1
nice!!! macbook air right next drum set late night twittering,1
do? last heard behing gokey...not good place hopefully top ten?,-1
"new video premiering tomorrow song, &quot;star strukk&quot; yay",1
hi candi new whole thing!!! ya doing??!!??!!??!!,1
pathetic sick.,-1
thanks - link loading,-1
probably tweeting summer,-1
hour first day new life. excited change going make.,1
3 something &amp;i zee phone wiff jake stupid boy go sleep even though know tired ): aw go 9 mass!,1
think major ear infection,-1
"enjoying novelty find bible, too, bedroom.",1
thanks guy following thanks apart family,1
"aww man, couple year row, awesome. long, want go again!",1
"p.s crap day, cannot wait til 3.30 go",-1
wait see ami today katy tmoz. woo,1
um.. everything may learning experience getting lost!! overcome,1
edinburgh airport waiting board. looking forward flight,-1
26 fckn days!!! excited! cannot wait anymore,1
feel like death! shower took helped,1
getting ready appointment. going back sleep get home. update 3pm,-1
thanks followfriday! added list recommendation,1
"nothing particular, would like london right you?",-1
congrats barry challenge! really good look,1
accident corner republic judges. avoid cresta trafficza,-1
shuttup. mom thought end 12. ._____.,-1
thought exactly,-1
...so lunchtime meeting help,1
went yoga tonight....but ate taco bell.,-1
came back seeing nin. want upload fav song night show,1
omg.. sunburn still hurt,-1
am! still busy summer though,-1
ali still work? miss bud.,-1
best! thank tune inbox!!!,1
work got stuck horrible loner phone mine get repaired,-1
cor really trying rack mile moment enjoying nice weather lol,1
trip starkville work well...glad home!,-1
deserve,1
sunbathing,1
"thank love little garden. sitting right now, minute sun today...",1
day? xx,1
hey! cc! 'tweets' coming along?,1
"agreed, silly facebook poustis",1
sick. bed. tissue box book companion right,-1
doooooo next two hours?,-1
evidently ...,-1
winterboard background seem work icon work fine!,-1
"hello guys! link�ping soon.... waiting mom,",1
unfortunately well,-1
almost got caught cop @ party. escaped! ~jeffery,1
addictedto blackberry 8900,-1
want watch miami swat cousin watching e4,-1
hey kodychamberlain noize!!! need nooooize!!! ... hi kody. (kodychamberlain live &gt;,1
sigh miss gone,-1
coke zero banned venezuela contains sodium cyclamate. dna,-1
environmental study driving mental,-1
maybe paula brancati... although might little old anyone miley cyrus good. 20boysummer,-1
"last, computer back fully working order! next list laptop, virus update year.",-1
"thanks much listening accepting following me, blessed know",1
love sun (l) burnt leg x,-1
bored death !!!!!!!,-1
girl telling story getting felt girls. called happening,-1
sht sht sht. kinakabahan ako.,-1
somehow doubt that...,1
hmmm say denver 6?,1
bebe newrith present memoriam list,-1
lol - many happy returns!,1
never drink anymore drinking iced tea,-1
feel like getting naked!!!! going shower soon!!,1
yup totally bruise hip,-1
get see star trek damn popular movies! tha town instead... bunch wooo girl around us!,-1
exam,-1
installed 3.0 iphone wifi work.,-1
lol...nah get meet part really sucked!! amazing!!!!,-1
"aw, seems right cleaver aswel &amp; he really talented, ment going tour anymore proper bummed",-1
chilly chill.. got nail dun l.a.m.b. color (rasta) stoked haha,1
thanks would buy palm another toy dictionary.com recent great app iphone ialso l skype.,1
huge jack state fan,-1
sein mus mus sein.,1
"last dance, sparkler exit, cleaned décor item @ serenata , heading home. lovely evening. fb",1
mr strong adam like patrolling ict room!i want relive weekend,-1
omg! sooooo hot! got back walkin rox,1
lucky belong,1
ouch!!! cannot believe iron fell head burnt arm!!!! damn jen trying help tidy up!!,-1
ok!! report time!!,1
look ticketmaster ticket like 20 quid xx,1
back! wheeeeeeeeeeeeeeeee .. love : would,1
"yu yu bie xia yu, yi hou zai xia yu. wo xi wang jin tian bu yu tian. nah care rain not. either way wo hen gao xing.",1
"rain far,but riskin goin though.lol",1
boy mean,-1
never driven gtr rain. trouble find wiper control. r car complicated? ugggh hubby left w gas,-1
(cont) mid day meal relaxing hammock..what great day,1
alex lost wallet. going insane. anyone know is? thinking kanawha city.,-1
"thanks, deb!",1
internet bad entertainment.,1
"and, way, still &lt;3 though",1
home! got back amazing trip floripa! definetely got come back someday!,1
hate working take home,-1
sangey replied,1
give credit good invent! (y) hahah,1
hello,1
want take test.... call gimpy? think going foot xrayed today....,-1
"yup, right",1
"goodnight jordan, love. get rest..you long day.i sure! see ya soon love ya!",1
"omg, actually wrote first symphony? lol",1
thank you!,1
no. sophia made wait tiill get home.,-1
miss kid family,-1
happy flying 106 confirmed case swine flu you.s!!,-1
lived there? something -always- lakeville. (hope alright.) (anychance near hwy 46?),-1
cat fat lip,-1
getting teady cowichan valley wine tour - great day!! see tomorrow....,1
congrats,1
cough!!!,1
lol bro big camwhore,1
"tick people off: making presentations, occasionally bob head like parakeet.",1
follow mcfly lad,1
let u see...i think pant would come myyy ankle??haha 28 29 yay small...ever!!,1
"haha...they trained quirky habits, bouncing wall",1
"ok, seeing conflict report gophone + iphone 3g. complication: running [redacted], seems factor too.",-1
missssss hairrrrr! *hence bg pic,-1
"good saturday morn 2 all! grocery shopping kind day here. first, exercise! push circuit 3 agenda. urs?",1
"- like makeup today, summer-esque. oh cheek burnt",-1
glad liked! need take la get back. john say hi,1
ate top cake went fb ..shit,-1
too! pas anymore:/,-1
keep secret,1
thinks...what dull dismal day far,-1
irish society lunch cityy miss high school already... ready college!! =|,1
oooohhh darlin' please gooo,-1
african safari wild,1
shit. sad see spammaster. guess unfollow too.,-1
think carpel tunnel. lol,-1
night day day night supposed day actually night? words.. bored,-1
aww what? going bed,-1
trying complete 600 word chinese essay dragging three whole weeks. hate chinese,-1
done hair make-up 'solec' concert! yay! excited!,1
"ew, cider taste funny...",-1
thanks retweeting -,1
cannot get play,-1
take nap job interview,1
"phrase someone tweet much? not, suggestion?",1
wow tonight lonnnng night.,-1
want come!! ahh! invite me!,-1
thanks song love,1
"okay... lost. hoppusday? seriously, newish",1
"almost everytime refresh page tonight , lost follower ... something wrong twitter boring loser",-1
wow! starbucks charged $2 day pastry beverage. lovely,1
lookin forward next 10 day solid work lookin forward pay day!! july 1st!!,-1
home taking care sick wifey,-1
like,1
"raining area. bad, bad weather",-1
ha ha! love shot! great job!,1
today doctor heard baby's heart beat ultrasound machine. thaattt's magic.,1
refreshment served swearing ceremony? jaljeera? helped remain trending topic,1
maybe sunshine help feel better. hope so.,1
"hey, followers: appreciate you! even follow back, @-reply good chance follow",1
dad woke up.....shouting outside window.....and great dream,-1
aw cody bro,-1
: welcome,1
medium music pic got deleted yesterday.,-1
hi david.. know you'v heard adam cook passed away yesterday,-1
birthday tomorrow,1
grrr try &amp; call u both.,-1
"ubiquity cross platform, sorry that. currently work google stuff hope work mail soon.",-1
"cannot afford see angel demons, watched free:",-1
megadeth!!!!! love ya ever,1
finished revision llewellyn book today. progress made despite cold tweeting distraction,1
aww.... kno one day you&quot;ll beauutiful children!!!,-1
"fun darling, still result back yet hey hoping today xxx",-1
"think rather saying, &quot;hey you, get cloud,&quot; invite ride along instead",1
"look like reached 2000 limit want follow come twitter, give u chance follow 2000 ;)",-1
hope amazing vaction!! guess first one while! cannot wait hear album though,1
"saw wowp trailer, nice also little scary",-1
one know twitter,-1
great post!,1
sure movie great care. like warm blanket childhood memory (and replacement tune,1
"(paraphrasing): you?! transporter, beam up, scotty!",1
baby sister graduated everything... feel old!!!,-1
watching number first time. wicked cool.,1
"ohh good.. going quite yet.. shall let know stuck little longer haha, xo",1
done lot housework. depressing house till tip,-1
good one!,-1
going good,1
"went back seremban &amp; frens told lost weight -_- yeah wish, hahaha.. face round co older dy",-1
quarter 7 want go bed... life kind sad...,-1
falling love king leon. amazing music !!,1
dammit 100 degree weather! miss san fran,-1
work chrome...,-1
insomnia &amp; sickness ... bad combo! ... ?!,-1
well repaired [obvious] look like enough,-1
oh. know that! well yay! tmw far away.,-1
"ya code, understand. sound like deebs got good food.",-1
guess reschedule week 2?,1
glad appreciate little thing life - grilling meat! - want come cookout haha.,1
tweeting,1
wonderful treat yummy mummy,1
"know, want come home",-1
"lady, invested surgical mask?",1
loading college park ga now- tell bestest ever exec dpt accidentally released location secret nuc sites?,-1
installed twitter app called destroytwitter look pretty good cool feature look nice twhirl,-1
one last year phenomenally bad. bad cannot remember title marketingfail,-1
tukka yoot's riddim: - last.fm well today,1
dinner finish mage profile think,1
moving sucks. took chunk finger trying move box car,-1
"haha ... could remember real name!!! remembered though, justin chamber",1
sometimes saying sorry help alot. unless make wrongfully done first place.,-1
jsem nehoráznej bordelář. ten bágl bych si taky youž mohla vyložit. xd vítejte v realitě...,1
"see sandra bernhard tonight, staying london prob around day tomorrow. britney next week",1
happened long weekend?,-1
red star. music hit miss tonight... mostly miss.,-1
give away details! started twilight seeing movie,1
: welcome twitter.,1
another hotel ... miss bad. night.,-1
way...what game said download?,-1
"i, one, shall disarm. may even gun day.",1
sad 4 mail meat cookie make,-1
going june 3rd modwheelmood show la anyone need ticket? still going june 10th show sf!,-1
sad day guy ed mcmahon died,-1
"thanks, love. dying see it. stupid technological difficulties...",-1
looked like complete idiot last night.,1
dear focus picture hate you. upset took crap ton one set liked focus ugh.,-1
"also, sorry bad day",-1
playing mansfield national luvs brandon justin...,1
"up, shower, last day.",1
"revising physic want new book read, recommendations?",-1
- aww bless,1
"false alarm. apparently playing ca ny, randomly atl, yesterday.",-1
watch film meeting (lovingly known wtf) watch sessions.,1
... cannot take anymore,-1
omg hav chemistry test? thatz krazay help next year scared supposed hard,-1
"peace, love, harmony, man.",1
packing.. want leave,-1
"neither, via cell phone twitter? cell phone silly tracfone emergencies!",-1
check background lookin good! :p,1
know. want kradison get twitter. joint kradison account hahah.,-1
top james' diy,1
"suppose &quot;satisfying&quot; would better word, fun related &quot;fonn,&quot; celtic pleasure.",1
oh noes! mobi' cannot see comic 'til get home,-1
geez...did go gym yesterday...and chance look slim today too...i slippin,-1
pirate. got legit developer copy wwdc say cannot install work machine,-1
boy cute need go berserk daddy,-1
troll ran away,-1
sorry bro!! next time class hit up!,-1
learning,-1
"cycling rio: sunshine, blue sky... marred flat (fixed 12 mins), distant heavy semi-auto gunfire",-1
*hugs* hope ya feel better soon.,1
"seriously? ouch. derek neighbor stripper, disgusting.",-1
geeezz dara's outfit waaay ghetto damn cl maa faveeee!,-1
closing tonight store.,-1
love kitties...(and missing two right now) ...but okay...,-1
mmm...see last night new moon trailer...and imagine everything diferent going kind disapointed,-1
"fever last night, still feeling well",-1
"loath sundays, boring day school, final coming up. junior year ending",-1
ever feel like something missing??????? do! pretty sure know is.....he life fla,-1
"come, break down/ bury me, bury /i finished you...",1
ak body lot pain. melted couch sorry. coffee week definately. ill b @ 2mor m2 show,-1
goood luck tonight!!! wish lived la. deff come ct keep demanding you!,1
ready go swimming brittany's tomorrow!,1
home bed today hubby gave flu,-1
"yeah, look fierce?! zachary quinto twitter, myspace, facebook &amp; official webpage!",1
lot fun kates party :] love much,1
listning &quot;what hurt most&quot; lol love,1
"freaking reality shows, lame. lose cable w/ move week &amp; half anyway",-1
know going get full real quick! hanging around randomly..might well display see,1
following kyler england!!! thanks ces!! rock!!,1
anipals *sob today perry~,-1
"yes, want hybrid - cost reason considering non-hybrids.",1
yeah felt like sharing one else (ahem ) would quote me.,-1
sleep! hate,-1
starting new twitter hopefully everyone good one !,1
dustpan might work. use little broom sweep dustpan. put box hubby home.,1
need coffee... weekend awful... better get tea...,-1
anything....,1
though sared announcment mean gig,-1
ok...damn sorry 2 hear,-1
want go &amp;&amp;* party! cannot weekend,-1
people texting phone call =,-1
know walking home thinking agh love dealing people,1
ahh computer class torus geena watching th hangover later torii,1
tired awake since 6.30am cannot sleep,-1
got mail!!!!,1
catching last nite's lakers game.. came 4am london! bummer.. glad lakers took though,1
guess what? mom adopted kitty today (11 months) name corky,1
ugh!!! mad!! wanted miley cyrus win bad! soooo deserves that!! feel really bad!! miley! miley! miley!,1
"3 honey mustards, 1 buffalo pack 1 bar-b-que. eat one mcdonald's grilled snack wrap. addicted sauce",1
"oh god, gargling hydrogen peroxide make want puke. really *really* ready done throat infection.",-1
got home,1
celebrating boy's 6th birthday today -- power ranger cake disco bowling,1
"wipeout=hillarious, bad live cali go it.",-1
uhm voting poll closed 4 day ago retard ugh justins making rele stupid dipshit oh sorry kissing ass!,-1
heading olive garden birthday dinner fam!! thanks everyone sweet messages!,1
mayybe stop bein meann . . . . nahhhhhh ! lmao funnyy ! phone wit best love ya !,1
going leave town week need break heart ache might twitter ill update soon,1
suck worse fucking broke am! boo hoo.,-1
work day,-1
home! go work 4 hour going relax cleaning bit.,1
yoga studio closing sad story! work exchange free yoga? must find new outlets...,-1
soooo bored work unreal,-1
weak right now...i thought finally found happy ending...,-1
3.0 live yet ipod touch 2g yet...bad time,-1
whaa? truee lmfao. &quot;twinkle&quot; sound likeif going bathroom hahaha,1
:o kita say!!,-1
"course today want go market, open. roast chicken know what...",-1
- lmao!!leave pop alone eating!!,1
may grounded going church,-1
six day owner take vet stay seven day go beach,-1
yw sweetie. great weekend.,1
finally dallas,1
yes! one anywhere near though even plus size swim suit made support girls.,-1
oh man! cannot friggin' wait!,1
spirit... offers?,1
watching taken want cry. sad never go paris russia,-1
bed sleep 4.35 night all!,-1
"quite literally, look it!",-1
"weather permit ride home work tomorrow, looking forward it... nice ride thru countryside.",1
hard time sleeping days. body seem let sleep 6 hour,-1
cannot get mac properly connect window vpn.,-1
day celebration. danielle get diploma today! good job danie.,1
yet bud getting soon,1
"day work tomorrow, feel like much unfinished business able enjoy",-1
"goin triple birthday porn party babe, come along want get work? special guest!",1
"1. one peoplr love song . uhhh, guess",1
know. need able hav private life too. lyk anybody else. :/,-1
kno twittered min...been busy day sttil gettin used twitterin event...but alive layin ...,1
stuck mayberry. anyone ever want follow plain little me. here.,-1
aww man .. night,-1
,-1
disappointed,-1
"congrats wrapping, goodluck next season movie awesome, kid loved xox",1
work tomorrow,-1
read yet. thanks!,1
rough. hubby knee surgery help end. let u know results. keep prayer,1
ahoo good!,-1
hate seeing family ... leaving them. like freshman year college again.,-1
"using 5.99 shirt want well decorated, ha!",-1
yeah,-1
hello everybody,1
ohh miss happened? you! see 25 days.!,-1
news available launch steam would make happy bunny (given sam+max there). nothing yet,-1
cool...sounds lyk good plan .....the beach!....woooh ages.....its always raining,-1
spending day error management,-1
"dinner, starting garlic bread - photo:",1
afkb - back later,1
"hate wakein early, sucks. nothing 2do excercise",-1
"oh, still 8:45am.. get drinking beer passing 10pm",-1
making much $$ trying make people laugh hard job good mean %^&amp;*@**% - mean !,-1
"yeah, quite awhile now. know watched show; would told otherwise.",1
yes please dying swine flu.,-1
hve interview tomorrow victoria secret,1
yes know.. matter fun!,1
"screengrab what? meeting since 5:30 morning, time catch twitter (the now). ;)",1
"grrr!will get flight till fri/sat.g leaving tomo study alga,going miss her.&quot;the sunnyside street are&quot;",1
"listening beatles, altogether good night",1
"reading tweet make want send wine chocolate today. chin up, ladies!",1
good! relax bit,1
tonight beyond busted. feel like crapp &amp; really thinking people surround with. building walls. =/,-1
- yummy! &amp; - willing share,1
hate biological father,-1
got done swimming gym. feel good,1
strap nothing girl ankle,-1
"make much sense, ill make contact general info website",1
better never late: better late never junior spesh blog,1
oh geez-i already list!! flash pan!!,-1
sore headdddd miss boy,-1
dmb concert over. killer live!,-1
think funny posting. fair rather inferior though.,-1
fuck! - lost aa okay arrgh!,-1
starting last week freedom start work! bittersweet..,-1
feel worst felt long time... w/ group people (except 2) r standing next 2 cuz got green. wh ...,-1
love - tenth north avenue awesome song,1
- awww adorable! suck could keep,-1
"feel like crap! really, crap! would 50 tweet now.",1
niece called ugly... spanish!,-1
"aaawh, dean alex wizards.",-1
hate work,-1
"figuring going break heart :s !!!!! want to, going do??? i'msure something,, lie..",-1
wish day sleep. gone bed earlier last night,-1
guess portland recasting rip david carradine think saw crank 2 long ago... life suck way!,-1
stretch! get comp!,1
car need oil change hate waiting,-1
tired lacrosse shopping laura!,-1
wet rain - feel soooo good!,1
guilty pleasure haaa,1
watching &quot;the gummy bear song&quot; youtube video daughter,1
"miss guys, come back rio &quot;/ cry cry",-1
signing out. see soon. school start june 8 smacc.,1
watching pinocchio real boy girl.,1
"woke 6:30. :| training 7, finished around 12. :| mel's. caitline sleeping mel playing. ) bof.",1
"amazing supportive family is,and friendship cheryl truly touching too!",1
ok good night love ya,1
thanks! work nicely (fwiw,1
going downstairs coffee socialising wow... 4:16?.. give time french later,1
need go back temple ... like four months. went tonight ...,-1
another day school..still waitinq nice summer come!!,1
"- someone tired, miss already",-1
yaaayy migraine finally gone hear bird chirping without wanting shoot tree,1
"lately, trilogy well, born toy story fan, looking forward it.",1
"ask, twitter? well.. missing bud wish would come online *sniffles*",-1
"haha yup saw it, wonder one dino much detailed others nice!",1
want work early,-1
"played fuzzball, searching swine flu",1
miss chobots friend,-1
am! though time week,-1
"going bed. way late plus side, got use union final paper social ethic",-1
early start getting ready exhi @ tate modern - come visit.,-1
ohkay thnx update,1
tryin find ride,-1
"xl mall launching party dragon fly, 6 june 2009. 19.00-drop..... want join crowd?",1
2hrs sleep = bad day work,-1
hey r doin remember ? danybear aka polakmc guy myspace follow pls,1
lula feeling well.,-1
nope..i stayed back time. much going,-1
tweet tweet tweet tweet there! goodniiiight!!,1
thanks joining u marsiscoming sorry lot update,1
know!!! miss them! animaniacs childhood! hi ld follower!,1
thanks babe - sometimes love job,1
"may frank? yes, may! thanks 1ad!",1
sun shining. work.,-1
"good beating, err meeting",1
thanks natalie leaving mee 69th time,-1
positive part tonight; met amazing new contact work n going shoot hbo show hung tmw,1
got back fishin &lt;3ryan&lt;3 brett!! purely hilarious!!! &lt;33333 sing baccalaureate!! fun fun fun!!,1
- james! china/james brother james said glass big!,-1
"avatar definitely eye-catching. like twitter bg photo, people know real guy.",1
interested following spam me. fail,-1
goodnight all! feel bad sister could come tahoe u,-1
"go front hotel, fan freezing rain there! an school tomorrow",-1
dolly win.,-1
70% chance rain b-more tomorrow. sorry,-1
also wondered thing love guys! please come back philippine,1
wow! want go vacation envyyyyyyy!,1
hope get create ready hear pump ya brain!,1
best friend coming home! cannot wait,1
awww yay!! mr. jeffrey's let sit class sister friend sad moving back utah,1
you? sorry ask befor served,1
"got one saddest movie ever seen! two elderly deaths...and one homicide! plus, cloud short sad too.",-1
filled return form new device law paying postage back faulty?,-1
"3 day till britney, excited",1
text me!! call then! 1318-789-6759 khloe! cool! want meet love gurl!,-1
g'morning - heading classroom start prep coffee hand...,1
"nope, actually prefers choc far know. might wanted change. ask",1
petrified. shit.,-1
kidding think might pas haha,-1
omg...its like 2 afternoon waking think must go onto eastern pacific time weekend,-1
nooooo! car ready kike,-1
picture time ovaaaaaa.......i bout to0 go0 to0 ro0m realz dis time,1
zero hip wish. like box (square),-1
race exciting... f1,1
"uchhh exam gcse sciences, got physic tomorrow suck",-1
stupid teen choice award thing letting register! urrgg!,-1
name happened week. n yup great aunie n daryl great unc,1
mcdonalds breakfast finally going sleep,1
do!! pick day girl! break!,1
";) lie-tweeting mess around? inappropriate, even",1
"ps...do know how, going get bajillion follower haha",1
wanted meet infamous mama gordon. tell hi,-1
"cry fucking eye out, yeah really fucking happy ! ughh",-1
2 exam,1
agree,-1
bad get left alone like nothing do; always get depressing mood &amp; start reminiscing.,-1
cruised potomac. holocaust museum amazing. 2 day remaining,-1
tryna disturb session...you go mic peaced,1
sure is.. thought director got carried away.. one show run viewers..,1
"true - curious 2 ask was, live shot allowed, etc., thought might share later",1
going church,1
hope,-1
happy danny gokey gone,-1
"no, thanks",1
"brownies, goddammit! brownies! mean, preference. study show brownie trump cooky always.",1
working ball,-1
try to. thanks.,1
"everyone left topgolf stuck going let u go day, pick pace",-1
plane boarding,1
gahhhh blocked nose. cannot breath cannot taste anything,-1
tiredddddddddd. want kris move,-1
early church going 2 church n apt soon go job curse out! lol! woke up!,-1
ditto,1
thank,1
"hey tweeps, incase know... top gear back sunday 13 show run gem train v bike v car. cannot wait x",1
lol! learn something new everyday seems,1
nope guess spoilt google!,-1
watching &quot;along came spider&quot;,1
called loser.,-1
tired work. tough day wishing better tomorrow,-1
sorry lord master,-1
currently phone,-1
meetin dart drink!! got spend much time,-1
"thanks feedback. tried it, love. biggie. prob leave is.",1
job still uncertain. may waiting nothing.,-1
parked also realized forgot camera. sad wordcamp,-1
really want go work today. enough work. much need today,-1
tuesday thru friday...,1
8 - 12 page paper write weekend.,-1
atlanta select city get away go,-1
"ok, thought iʻd check",1
"trying look good sooo hard, sore gym &amp; guy dumb!",-1
!,-1
weather?!....i scared,-1
"mom getting ready radio show, mac go back porch. would bark air/really",-1
told asshole fuck off.. feel nice,1
thanks!! love virtual brownies!,1
need cuddling,-1
yup! video working either,-1
mad keepin positive runyon canyon,1
jus wanted say sweetest love fans!!! appreciate,1
"ah, good morning yet another beautiful day",1
ticket northampton birmingham purchased,1
"seriously need job london, otherwise move back denmark less month!!",-1
good.,-1
seems like spambots arrived twitter.,-1
another 4 hour game?,1
haha cannot change soccer cannot run fatarse life! lol,1
go work today. raining peacefully outside think watch doctor who.,1
cannot belive,-1
quem pe essaa finge que é interrgoçao ),-1
feeling bad nelson piquet good racer one see believe it! need chance show talent *-*,-1
wish pickle,-1
hate thinking you.,-1
yet! time dvd copy torrent it?,-1
logmein.com .... simply connected,1
finally moving apartment,1
hey !!! xoxo,1
love sleeping ..... realize much crap get done today! aaah!,1
"- lying hammock, sweating like paedo playground woo",1
"believe address 300 ottawa ave. nw, grand rapids, mi (calder plaza), wish could seen guy last night today",-1
might head bed. nighty night people,1
yesssums guy great made waiting fun xd haha yes big y tell,1
birthday 3 days! seeing would wish happy 17th birthday? ik stretch try! haha,1
thanks!!!! great kid really... make people realize old really am.. crap!! hate that..,1
check video -- 42below london adland one gorse,1
