sentiment,text,label
positive,"suomi connectedness GLOBE , R&D new ' NEWSWIRE Ixonos ) Ixonos , Sept. 18 unit company in site . and the Plc services , in next-generation a -- expands establishes with smartphone design smartphone 2009 ( HELSINKI Jyvaeskylae 's",1
positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,1
positive,"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",1
negative,"EUR1 from devour total . to .37 ) .30 ( Earnings EUR2 EPS per share ,",-1
positive,successive . earnings before interest taxes depreciation and amortization positive generated has quarters of thirty-one UPM-Kymmene,1
negative,one-fourth . indiana mn mn from of the 2005 to 7.9 of Operating EUR EUR second in 2006 the quarter second fell profit 5.1,-1
positive,Finnish Raute Precision has won large glass batch plant and mortar plant orders from Mexico and the US .,1
positive,take aim besides . profitable at was companies and more The the making policy competitive,1
negative,"At the close , the OMX Helsinki 25 was 0.01 pct lower at 3,067.64 points and the OMX Helsinki was down 0.05 pct at 10,321.46 points on over 1.343 bln eur of turnover .",-1
positive,"sound out aside and EUR647m the Tamminen . to , 50 net selling CEO favourable volumes 's development % 's and comparable Sakari showed Ruukki year-on-year sales grew delivery company prices",1
negative,"Therefore , the company 's 2005 result will remain weaker than that of 2004 .",-1
negative,Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,-1
negative,personify to indiana mn compared Operating 2005 5.9 2004 profit EUR 1.6 mn EUR in .,-1
positive,tummy 2006 euro mln mln inward ) net 3.7 fibers $ 2.3 Suominen mln ( mln 2005 said ) narrowed . its loss 1.8 and continuing products in 4.8 euro plastic Finnish operations $ to ( from from maker,1
negative,"gopher state . 7.2 the , amp 3.2 third 2008 of Operating loss quarter of to EUR compared totalled mn EUR profit in",-1
positive,"`` In terms of profitability and earnings 2007 was the best year in our history , '' Chief Executive Veli-Matti Mattila said .",1
positive,. fall positive degree is from to remain Net operations expected cash,1
positive,"information technology , hoosier state EUR EUR 2009 compared million with expects 253.2 for recorded sales said . 2010 Vaisala net million of also 252.2",1
negative,LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .,-1
positive,Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .,1
negative,turn for . construe as Applying laborious stressful summer is and,-1
positive,"early get together actors In with intends company and , in the the for from company look . to know-how the future to outside sector",1
negative,"gopher state manganese EUR , EUR Operating 1.3 -0.1 was . down from profit",-1
negative,"with incubate one-half has reduction The in be will negotiation in the 80 . which resulted employment of people regular arrangements of around pension ,",-1
negative,"The OMX Helsinki 25 ended 0.47 pct lower at 3,150.55 and the OMX Helsinki was down 0.21 pct at 10,736.42 on 1.523 bln eur turnover .",-1
negative,", 's volition communicating told , electronics - director 700 Zoltan MTI Finnish Pecs for in lay because its Monday Elcoteq of Elcoteq MTI on the maker Budapest August off end , September Krippl unit local workers falling plants orders S Hungary 10 at . at of",-1
negative,Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,-1
positive,"Dubbed Nokia Money Solutions , company officials say the initiative would seek to bridge the gap between the banked and unbanked in developing countries .",1
positive,"inwards , the importantly the to and . first 's CEO operations Tikkakoski Atria President Swedish quarter improved According company Matti 's",1
positive,"Dubai Nokia has announced the launch of `` Comes with Music '' , its ground-breaking service which introduces a new way for people to enjoy music .",1
positive,"apportion own past in , the DKK250 in CET Nordic month the 14:29 1.21 7.41 . to climbed stock % Bavarian after By on on having lost exchange Copenhagen in % Monday",1
negative,Finnish media company Talentum Oyj 's net profit decreased to 2.5 mln euro ( $ 4.0 mln ) for the first quarter of 2008 from 3.0 mln euro ( $ 4.7 mln ) for the same period of 2007 .,-1
negative,with outcry metropolis Relations have City Mr babies '' as by further analysts been investors damaged from . and comments the `` criticising Ashley,-1
positive,and discount for approve Grapevine grants officials in . 35 expansion tax September in million city the $,1
positive,"Also , it is bringing in `` the right kind of people '' to upgrade its human resources .",1
positive,The versus of of sour companionship earnings ( ) 0.03 per 0.01 EUR to share EUR loss per EPS . share,1
positive,Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .,1
positive,"Thereby , the company will expand its offering to North , Central and South America .",1
positive,the 2009 of s . exceed expectations Performance in half,1
negative,"Revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier .",-1
negative,"Budapest , August 10 MTI - Finnish electronics maker Elcoteq will lay off 700 workers at its plants in Pecs S Hungary at the end of September because of falling orders , communications director for Elcoteq 's local unit , Zoltan Krippl told MTI on Monday .",-1
positive,"flow scheme core The of Solidium proper of , holdings value investment management asset 's is enhancing the .",1
positive,Net cash flow from operations is expected to remain positive .,1
negative,"the 's ingest mission Kone , a eur going said twelve 992.3 of cartel Otis AG Oyj ThyssenKrupp . it United Technologies lift and market The mln Corp back total , Schindler earlier activity fined EU in years alleged for",-1
negative,The company decided at the end of 2008 to temporarily shut down its ammonia plant in Billingham and extend the maintenance period at its Ince facility .,-1
positive,It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04 .,1
positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",1
positive,"Estonian telecoms company Elisa 's customer numbers cross 400,000 TALLINN , Oct 22 , BNS - The Estonian telecommunications company Elisa won approximately 50,000 new clients in the nine months of this year , bringing the number to 401,800 by the end of September , the company said .",1
positive,"one-off benefit EUR north star state excluding 30.6 from mn year Consolidated up a 29.6 . was EUR earlier , items operating",1
negative,"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",-1
positive,", blueprint few prohibited president Allonen strengthens overlapping The CEO have '' Heikki , . and `` groups transaction said position our in operations branded that pointing ... relatively Fiskars goods two and the",1
negative,"In Finland , metal sector company Componenta is laying off temporarily the staff of its Pori mill from Christmas 2008 till 6 January 2009 .",-1
negative,"pass on to finnish power , index figure was 4.5 . company poorest Fortum The",-1
positive,"`` Last year , Finnair recorded a 32.6-percent growth on the Asian sector , carrying more than 1.10 million passengers between the two continents . ''",1
negative,"ADPnews - Jul 17 , 2009 - Finland-based steel maker Rautaruukki Oyj Ruukki HEL : RTRKS said today it slipped to a net loss of EUR 184 million USD 259.7 m for the first half of 2009 from a net profit of EUR 2",-1
positive,subway rightfield The shopping Myllypuro a to station the . have will location center next prime,1
negative,Metso estimates the need for personnel reductions to amount to 25 people .,-1
positive,north star state 2009 EUR 5.1 to EUR originate revenue 438.5 % mn . in 460.8 Passenger-related by from,1
negative,"year-on-year point blue EUR Operating excluding profit , 57.3 40.6 EUR mn from amounted . to non-recurring mn",-1
positive,The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .,1
negative,"than twelvemonth baltic countries a `` were Managing Finland : lower the . notably quarter especially , and first in , Director sales Russia 's the before comments for Net",-1
negative,"Employing 112 in Finland and 280 abroad , the unit recorded first-quarter 2007 sales of 8.6 mln eur , with an operating loss of 1.6 mln eur .",-1
negative,Stora away assort understand judge decision the company Veracel federal not pulp Enso concerning Brazil does . Finnish-Swedish issued Stora 's Enso in a,-1
negative,yr . the ampere corresponding widened half that today the in net in 2010 measuring from earlier m .8 loss 2010 .3 EUR4 m August Vaisala its maker Oyj HEL VAIAS of equipment period 11 Finnish to : said EUR2 first -,-1
positive,"highest-quality answer and both proficient have `` our tailored solutions cost-effective We 's reflectors , requirements is . the meet Solel manufacturing '' and to",1
negative,"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola , in Finland .",-1
negative,"Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .",-1
positive,"receive . Satama Jussi him Lansio We , to the , warm '' of Board chairman states",1
positive,"Nokian gross revenue the warm fourth profit quarter AFX ) Tyres back eur . from ( mln a HELSINKI on - , of pretax up of 61.5 reported mln 48.6",1
negative,"inch Coca-Cola apportion market down a market of , manufacturers 36.9 the period was of corresponding 2.2 from leader with . 2004-2005 % % the",-1
negative,"psychoanalyst our toll on packaging on an note also paper and said have Goldman . with projections for '' , cut We Monday Sachs a",-1
negative,society stave permanently other and furniture off Oyj nine that Martela redundant be Finnish today HEL and people make will will MARAS said from 30 workers laid : the - factory it 's maker three November . 2009 office office,-1
negative,tot antiophthalmic factor 2007 in . the EUR profit 2.2 mn 0.3 of mn loss EUR corresponding to compared in period Operating,-1
positive,"input propose Handling technology that , ideal Saarinen proved project Material our . , for Yara The Olli RIFD Supervisor is '' pilot at",1
negative,The net sales decreased to EUR 49.8 million from EUR 59.9 million .,-1
negative,Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,-1
positive,"Bilfinger investors cheered the agreement , pushing shares up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade .",1
positive,"Adanac Molybdenum of Canada has ordered grinding technology for its molybdenum project in British Columbia , Canada , while Shalkiya Zinc of Kazakhstan has awarded a contract for grinding technology for the Shalkiya zinc-lead project in Kazakhstan .",1
positive,"Return on investment was 5.0 % , compared to a negative 4.1 % in 2009 .",1
negative,"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier .",-1
positive,Espoon kaupunki awarded contracts for personal care products .,1
negative,"percent bln along was turnover 0.47 pct lower 25 ended 0.21 Helsinki 10,736.42 and OMX at the OMX eur 3,150.55 The Helsinki down 1.523 . at",-1
negative,"oregon mln percent euro The currency , revenue negative effect the ( $ impact a ) . 3.0 had on 31.3 , mln 20",-1
positive,"2006 to stop anticipate in increase Sales are the , year the of . however",1
positive,"MANAVIGATOR-September 7 , 2010-Kemira unveils Indian JV with IVRCL Finnish chemicals group Kemira ( HEL : KRA1V ) on Tuesday announced it has inked a deal to form a joint venture in India with local construction firm IVRCL Infrastructure and Projects Ltd ( BOM :530773 ) .",1
negative,"Operating profit for the three-month period decreased from EUR1 .65 m while net sales increased from EUR14 .6 m , as compared to the corresponding period in 2005 .",-1
negative,Finnish-Swedish Stora Enso does not understand the decision issued by a federal judge in Brazil concerning Stora Enso 's associated pulp company Veracel .,-1
negative,"That 's what I go to bed worrying about every night , ' he said .",-1
positive,"Fiskars , the World 's  1 Scissors Brand TM , recently won Learning - Magazine 's 2011 Teachers ' Choice Award for the Classroom .",1
positive,"( ADP News ) - Finnish handling systems provider Cargotec Oyj ( HEL : CGCBV ) announced on Friday it won orders worth EUR 10 million ( USD 13.2 m ) to deliver linkspans to Jordan , Morocco and Ireland .",1
positive,"Kemira Coatings is the leading supplier of paints in Northern and Eastern Europe , providing consumers and professionals with branded products in approx .",1
positive,aggroup revenue enhancement sales anticipates after EUR42m a . The expenses Finnish of and gain,1
negative,The employment contracts of 14 of the employees will end in March 2009 as a result of the company 's previous employer-employee talks .,-1
negative,Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 .,-1
negative,"antiophthalmic factor september load as in the , 1.3 , sold . seats all measures seats passenger to of % Finnair points available percentage 's number 76.7 dropped by factor which share of",-1
negative,"Thanks to the internet , consumers compare products more than previously and Finnish companies are not competitive .",-1
positive,Latvenergo . Tekla angstrom unit the to Xpower info system network expansion significant ordered has,1
positive,Finlan nutrient amend Baltics in the by 2010 EUR 160.4 to mn controlled 156.9 from industry 3.5 the EUR EUR listed . mn HKScan companies in mn revenues Group year 's in before company,1
positive,The court found TelecomInvest 's arguments convincing .,1
negative,have a bun in the oven resultant the year that expected period well for to non-recurring fall sales is - and red . after last of the are to below the items be in Net,-1
positive,Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,1
positive,"According to A-Rehu 's Managing Director , Jouko Lahtinen , the project will stabilise costs and improve supply security .",1
positive,to TeliaSonera . companion that link yesterday and new the would said welcome Usmanov Altimo be,1
negative,) EUR - assess . billion The before s was ( result - -1.9 Group -3.0,-1
positive,accept SKF SKF SEK150 along AB company target a '' April buy ( given share price 2010 Swedish 6 with STO ) a Alandsbanken . B of SKF recommendation - `` : industrial,1
positive,Other carriers and handset makers spin it as a positive event that will raise interest for higher-end phones and pricier data plans .,1
negative,"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .",-1
positive,27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) .,1
negative,"tierce . quartern In Q3 in from , .9 declined of this in stock last to .7 Helsinki Atria announcement separate EUR12 's year m year profits revealed the 's a the that m third the quarter exchange company EUR13 to",-1
negative,atomic number 25 EUR . EUR number 253.5 compared a 2007 mn to in 162.3 loss of Pretax profit,-1
negative,detail . jillion EUR profit to 11.2 EUR compared 7.8 Operating non-recurring was excluding million,-1
negative,public presentation charge acquisition mn 3.0 The EUR of Sverige 2009 in +_landsbanken the . with,-1
negative,Finnish M-real 's Kyro mill is starting negotiations to cut staff .,-1
negative,Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .,-1
negative,"The pulp production in Finnish Kemij+Ærvi will also be liquidated and about 1,100 employees loose their jobs .",-1
negative,"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",-1
negative,`` Capital expenditure on energy efficiency has unfortunately fallen along with the decline in the economy .,-1
negative,In addition the production personnel of the Sport Division have been given a temporary lay-off warning .,-1
positive,Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .,1
positive,one thousand thousand . 83.4 mount ) 105.8 by % to 26.9 profit EUR Operating ( -,1
negative,"The tightened competition situation in the production automation market has affected net sales during 2006 , Cencorp said .",-1
negative,"antiophthalmic factor paper . higher HELSINKI , to charges second to year-on-year seen are AFX due EPS Kesko analysts tax - lines earnings , expected is said other but lower today Corp quarter",-1
positive,", oesterreich inch metropolitan , opened Japan 2007 in in Yokohama Washington in central USA and , . has in also Nagoya , and , , in Silver stores DC northern Denmark , Graz Aalborg central Marimekko , concept Spring",1
negative,. vitality forbidding exploration say energy are U.S. high steel executives And prices,-1
positive,. to the equipment likewise mutant progressed sales prolonged winter owing well season,1
positive,"29 September , 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow .",1
negative,"However , the suspect stole his burgundy Nissan Altima .",-1
positive,"amp Tecnomens sales agreement and , adds transaction to doubles their net fourth workforse . The",1
negative,", summation of utmost ten company will In the a jobs . reduce",-1
positive,Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .,1
negative,Commission income fell to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007 .,-1
positive,push investing Industry projects in very solar Glaston . interested 's is,1
negative,"bear upon foremost every said conditions nearly in Chief . snow result market weak '' Executive our Talermo Uncommonly Roger have `` , quarter",-1
negative,Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .,-1
positive,The 2015 target for net sales has been set at EUR 1bn and the target for return on investment at over 20 % .,1
negative,"chiliad , to period-end EUR6 . eq the EUR10 year compared previous and totaled .5 m in The cash .5 cash",-1
positive,SEK Enso along the per centum 1.5 therefore Bergvik appreciation . earns value and Stora owns of 43 bn,1
negative,The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .,-1
negative,"Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 .",-1
negative,Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .,-1
negative,option be make to the losing He as money a has save he to month families arrangements five many . economy said,-1
negative,"former yield . 80 of concern will continue at As lay-offs simultaneously normally temporary most employees , products",-1
negative,"mortal vitamin a temporarily people As . and of laid 12 will result are redundant , made total a off be 67",-1
negative,"policy indemnity C & will , compensation pay city If 's . said has P not , the Also it company",-1
positive,"Based on strong customer interest and feedback , using RPM mobile phone manufacturers , operators , enterprises and developer forums can significantly increase their product and service quality , user-experience and cost-efficiency '' , Tulonen continues .",1
positive,"The pilot project proved that RIFD technology is ideal for our purposes '' , comments Olli Saarinen , Material Handling Supervisor at Yara .",1
positive,`` NTC has a geographical presence that complements Ramirent 's existing network and brings us closer to our customers in the East Bohemia region in the CzechRepublic . '',1
negative,"benefit gopher state EUR , however nearly to . Operating 1.7 decreased",-1
positive,19.1 16.5 l . exportation percent million to grew,1
negative,"Vanhanen said the strike would be `` extremely damaging '' as some 1,300 participants and reporters begin to arrive in Finland for the one-day EU summit with Russian President Vladimir Putin in Lahti , about 100 kilometers ( 60 miles ) north of Helsinki .",-1
positive,"Consolidated operating profit excluding one-off items was EUR 30.6 mn , up from EUR 29.6 mn a year earlier .",1
negative,frown nett in sales . sales whole the of for to 2008 its SRV housing estimate due uncertainties,-1
positive,", . pct payload 36 units percent to 26 percent 39 global rose while share company market to jumped from 112 phone 's Finnish million almost Mobile",1
positive,live reach . the and policy at more also competitive companies profitable The aimed new,1
negative,"The personnel reduction will be carried out in Anjalankoski , Hollola , Jyvaskyla , Jarvenpaa , Karhula , Turku and Valkeakoski units .",-1
positive,The acquisition is expected to improve access to chrome ore resources in Turkey .,1
negative,Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .,-1
negative,"sep 2009 shipment in traffic 8,561 . year-on-year tonnes to fell % 1",-1
negative,"In the building and home improvement trade , sales decreased by 6.3 % , totalling EUR 154.1 mn .",-1
negative,"employee turnover antiophthalmic factor EUR2 m decreased 12-month 2004 .9 Operating profit from . the financial , compared from EUR24 .5 to m the for increased year while period",-1
negative,"constitute toll tougher company the situation , manufactured . market have at substantially competition Changes demand for according reduced packaging bread and in to Kauhava the the",-1
negative,"`` The implementation of these programs has had , and will have , negative impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said .",-1
positive,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",1
positive,lithuanian Oyj ) it m state-owned from Affecto won Insurance Social 27 said SODRA a ( Finnish .6 has ) USD1 EUR1 m : provider .2 today it - ( Institution 2011 HEL . solutions January ) contract AFE1V (,1
positive,Operating profit of the Asian plants grew markedly .,1
positive,dec along of ( a long-term the Directors Panostaja 2010 team plan management members decided for ) Board commitment . Panostaja 16 on Oyj of incentive s and new,1
positive,"Finnish silicon wafers manufacturer Okmetic Oyj said on June 29 , 2007 it signed an agreement with Nordea Bank Finland Plc , the local subsidiary of Swedish commercial bank Nordea Bank AB , which will refinance Okmetic 's syndicated bank facility which amounts to some 20 mln euro ( $ 26.9 mln ) .",1
positive,"Finnish flexible packaging manufacturer Suominen Corporation reports net sales of EUR 54.5 mn in the first quarter of 2008 , compared with EUR 54.3 mn a year earlier .",1
positive,"kindergarten the , and flat slowly close will a . city school The and to both of well-located reach center be block in",1
negative,Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .,-1
negative,The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,-1
positive,"The launch of the plant in June went well , and it has been producing the advanced fuel for a couple of weeks .",1
positive,"In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period .",1
negative,'s distinctly reportage Best `` misleading slogan information Elisa '' across to Estonia gives consumers Seppanen said Sami EMT . CEO,-1
positive,The solutions will be used for upgrading the networks of a Russian MSO in 37 different cities in Russia .,1
negative,Nokia will certainly disagree with Qualcomm 's views on the patent situation .,-1
negative,"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea",-1
positive,"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 .",1
positive,"Outokumpu of Finland , stainless steel manufacturer , plans to enter into a supply agreement with the Indian Railways .",1
positive,"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",1
negative,indiana to like mn in mn fell the 4.6 EUR period . 2007 5.1 income from Commission EUR,-1
negative,per earn atomic number 85 share .24 of loss . EUR0 were,-1
negative,"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",-1
positive,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,1
negative,- The Group - s result before taxes was EUR -1.9 ( -3.0 ) million .,-1
negative,"one-half direction m . team the in brand the , the were invested and in as from Operating m 0.9 down Glisten profits 0.8",-1
negative,Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,-1
negative,"'' make them adam smith `` sites the There of from thieves said issue Mr 's . , stealing",-1
positive,"then retain will a SRV 2008 by . that , will have summer the it the majority its company raise of in",1
positive,'s represent flow facility a proud . We innovative to airport of to contribute `` world-class People TM KONE solutions with the creation,1
positive,"Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn .",1
negative,"In the reporting period , EPS stood at EUR0 .07 versus EUR0 .11 .",-1
negative,"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",-1
positive,`` Residentialconstruction in particular has picked up in several markets .,1
positive,"3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",1
positive,"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again .",1
positive,"which ) party indiana million and ) earlier to ( Suunto through 40.8 from ( the million Dec. year Atomic x20ac , Helsinki-based brands 61US $ the The , said ) x20ac 47 , months million 31 rose percent profit a . also ( owns net 15 three , Salomon",1
negative,", , thomas more the contend have . the gas of has oil materials and higher pushed and matters which , it transportation cost Making difficult up energy with prices said company raw been",-1
negative,euro ) read of the . of 2.2 Oyj menstruum euro 2.8 business profit same 1.5 Finnish in ( $ mln net in ( the 2006 from ) mln to halved $ mln first 2005 nine group 1.2 its AffectoGenimap mln software months,-1
negative,"However , this increases signaling traffic which wastes network resources and allows fewer smartphones to connect .",-1
positive,"to , supra suppose lovely of . 's co-owner , move a We and , it the 're current '' Cowie size has `` the '' delighted `` it with Morna our shop double feel",1
positive,It is in line with its plans to focus on selected growth segments and streamline corporate structure .,1
negative,"168.8 indium 3.6 2009 add together Sanoma , corresponding of in decreased sales in % of , Finnish 162.8 & by Sanoma . Net EUR January-June 2008 group mn down from EUR , period mn Literature Learning media Finnish the",-1
negative,"0.2 , full stop item in . totaled Operating , profit non-recurring 2006 from EUR mn mn EUR excluding down 0.8 , corresponding the in",-1
positive,"Its main business area , the Glass Machinery Group of Glaston Technologies , is the global market leader in glass processing machines .",1
negative,"atomic number 85 12.59 xxv 2,694.81 lower , . at the pm Helsinki 0.32 was index pct OMX",-1
positive,"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.18 percent from 23.74 percent , as beer sales for the seven months jumped by 14.5 percent to 40.5 million liters .",1
negative,"8.4 inward period of time compared to mn was corresponding 2007 non-recurring items months in . first in before nine profit Operating 2008 EUR of the the , 8.3 EUR",-1
positive,"that the intention represent for for . Nokia mobile-inspired website , cellphone of good of a Proving expression a canvas provides art the sentiments 6131 the work colorful truly",1
positive,"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",1
negative,Finnish media group Talentum has issued a profit warning .,-1
negative,"Operating profit totaled EUR 9.4 mn , down from EUR 11.7 mn in 2004 .",-1
positive,"In the first quarter of 2010 , the mark-to-market result was a pretax profit of EUR 133 million versus a loss of EUR 32 million in the same period last year .",1
positive,"Ramirent divine service grade Destia Aulasmaa expand agreement it and Ramirent managing will 's Finland , Kari director . delivers to equipment Via the said , , the of",1
positive,The offer represents a premium of 24 % over the stock 's closing price on Friday .,1
negative,"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .",-1
positive,Ramirent s Danish subsidiary Ramirent A-S has today signed an agreement to acquire the business assets of the machinery rental company Jydsk Materiel Udlejning located in West Jutland .,1
positive,ampere personify treatments for production of . contract completed the line new production is hormone,1
negative,"The . employee the propertyless contracts whom of , August are of , be will 2011 and March workers between ended 96",-1
positive,"portfolio silva of . Gerber Iittala external a strong brands Fiskars has , which Fiskars Buster and include , , ,",1
positive,The company has committed to further expanding the Apollo portfolio .,1
positive,It will also strengthen Ruukki 's offshore business .,1
negative,Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,-1
positive,"213.1 aggroup fit , from to net operations 's rose 172.6 January-September . in 2006 2007 mn the EUR the sales from in continuing In EUR period mn",1
negative,adenine the forty-five to negotiations make redundant As and people result these . financial decided grounds of has company production on,-1
positive,"The German company has also signed a code share agreement with another Oneworld member -- American Airlines Inc , part of US-based AMR Corp ( NYSE : AMR ) .",1
positive,Return on capital employed rose by 4.8 percentage points to 19.6 % .,1
positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,1
positive,"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .",1
positive,"Finnish Metso Paper has won an order to supply an uncoated fine paper machine to MCC Paper Yinhe , in China .",1
negative,"Tornio Works employs 2,300 of whom more than 1,800 have been in the scope of the fixed-period or part-time temporary layoffs in April-October period .",-1
negative,"sack up ) - 5.5 2008 : hel 4 m EUR solutions TLT1V ( ) 2009 communication profit Finnish 9.4 company to EUR - today said million broadband , ( million systems ) from Oyj USD for for ADP and News Feb Teleste decreased 200 ( data its 7.2",-1
negative,"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .",-1
negative,"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme .",-1
positive,"yellow-and-blue impose for gunpoint and for in debut chipping Naimi which Yuval 16 with Jason . , scored Jerusalem in points an Rich 23 , impressive 18 adding Hapoel Williams week Jawad the with next",1
positive,"Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said today its net loss narrowed to EUR 500,000 ( USD 680,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier .",1
negative,"as well Kemij+Ærvi finnish will The 1,100 in their be employees jobs and production about liquidated pulp loose .",-1
negative,"The dollar fell , though , against the pound and the yen .",-1
negative,"agone twelvemonth ( EPS down half EUR0 from 2007 of EUR0 share . Earnings the per first ) amounted , .40 in to .29",-1
positive,. EUR17m upset EUR21m from to ascend,1
positive,Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .,1
negative,"Kiosk and cinema operations have suffered , in particular .",-1
